Trat,Rep,Local,kg/ha,US$/kg,US$/ha,IQS,Talo %,TotalSugar,AlcaloidesTotais
8,2,E11,4708,3.18,14989.06,69.8,32.7,8.3,4.71
8,3,E11,4330,2.99,12933.27,65.7,33.8,9.6,3.75
9,1,E11,4382,2.94,12897.9,69.4,32.2,9.4,3.81
9,2,E11,4271,2.94,12538.58,74.6,33.5,5.9,3.67
9,3,E11,4121,3.08,12675.36,77.1,32.5,7.3,3.43
10,1,E11,4375,2.96,12950.36,69.8,33.8,6.6,3.24
10,2,E11,4201,2.68,11257.02,65.3,36,5.8,3.05
10,3,E11,4632,3.21,14856.72,74.1,33,9.4,3.37
11,1,E11,4453,3.08,13732.52,70.4,32.6,7.7,5.05
11,2,E11,4275,3.01,12882.81,68.1,34.5,6.3,3.86
11,3,E11,4318,3.21,13872.38,75.8,32.7,8.2,4.1
12,1,E11,3622,2.64,9579.08,57.8,32.2,6.1,3.4
12,2,E11,3883,2.49,9672.63,56.4,31.3,5.9,3.87
12,3,E11,3155,2.34,7374.33,53.1,33.8,5.4,3.37
13,1,E11,4228,3.37,14267.98,73,33,10.4,4.81
13,2,E11,4363,3.12,13607.59,69.6,32,9.6,4.77
13,3,E11,4365,2.9,12638.38,64.6,33.8,10.3,4.64
14,1,E11,4161,2.86,11900.28,69.4,32.7,6.9,4.82
14,2,E11,3597,2.81,10104.78,67.6,32.2,7.5,4.05
14,3,E11,4076,2.89,11799.58,67.1,32.7,6.5,4.41
1,1,E15,4160,3.02,12551.01,63.9,32.2,13.3,3.71
1,2,E15,4383,3.23,14165.9,71.4,34.3,12,3.69
1,3,E15,3973,3.27,12995.43,70.7,33,13.8,3.51
2,1,E15,4393,2.88,12672.31,62.2,29.5,10.7,3.49
2,2,E15,3846,3.28,12630.42,69.9,28.9,14.6,3.68
2,3,E15,3798,3.24,12301.12,69.4,29.7,15,3.3
3,1,E15,3943,3.33,13147.3,75.5,34.5,14.1,4.24
3,2,E15,4394,3.13,13734.74,67.8,34,12.7,4.57
3,3,E15,4132,3.19,13198.2,67.9,34.5,12,4.89
4,1,E15,4195,3.64,15259.5,81.9,29,16.7,4.12
4,2,E15,3717,2.82,10463.92,57.1,30.4,12,4.49
4,3,E15,4479,3.5,15679.17,75.4,28.9,16,4.16
5,1,E15,4026,3.76,15129.13,88.2,30.1,17.1,3.31
5,2,E15,3827,3.72,14246.03,85.4,28.6,15.7,3.7
5,3,E15,3918,3.59,14052.34,82.8,30.1,17.5,3.41
6,1,E15,3816,3.31,12616.55,77.3,30.9,13.8,3.77
6,2,E15,4077,3.67,14962.24,83.4,31.5,16.8,3.6
6,3,E15,4008,3.29,13174.72,66.8,30.4,17,3.51
7,1,E15,4597,3.34,15359.35,74.8,33.7,13.5,3.85
7,2,E15,4646,3.46,16084.28,78.2,32.7,17.5,3.96
7,3,E15,4024,3.36,13532.73,68.3,34.2,13.8,4.52
8,1,E15,4383,3.16,13870.4,70.2,35.9,11.2,4.14
8,2,E15,4330,3.35,14522.9,73.9,36.5,16,4.17
8,3,E15,4184,3.21,13442.16,69.9,34.5,15.9,4.64
9,1,E15,3718,3.47,12919.67,85.9,31.6,13.5,3.7
9,2,E15,3837,3.25,12457.28,70,32.9,16.9,3.28
9,3,E15,3702,3.45,12768.13,77.9,30.4,16,3.73
10,1,E15,3890,3.48,13543.65,79.4,33.2,10.1,3.05
10,2,E15,3567,3.37,12009.52,76.3,30.7,11.5,2.98
10,3,E15,3566,3.38,12049.52,78.4,33,11.6,3.47
11,1,E15,4039,3.37,13615.23,78,31.3,14.1,3.87
11,2,E15,3710,3.35,12434.08,71.4,32.2,14.8,4.06
11,3,E15,3983,3.65,14525.91,84.4,34.5,12.8,4.25
12,1,E15,4145,3.21,13313.56,70.6,32.5,11.6,4.07
12,2,E15,3915,3.21,12583.61,69.1,30,14.5,2.8
12,3,E15,3612,3.14,11333.73,70.3,32,13.2,3.71
13,1,E15,3727,3.38,12614.92,76.7,30.4,14.8,4.31
13,2,E15,3804,3.68,14013.58,87.5,31.6,18.7,3.9
13,3,E15,4116,3.32,13676.47,72.3,33.8,14.1,4.42
14,1,E15,3653,3.38,12343.39,78.9,29.6,12,3.81
14,2,E15,3836,3.39,12994.13,79.2,32,12.9,3.82
14,3,E15,3978,3.41,13550.83,78,31.2,14.6,4.18
1,1,E16,3829,2.96,11352.8,66.7,31,11.7,4.04
1,2,E16,3989,2.89,11546.18,57.9,30.5,14.5,3.38
1,3,E16,4056,3.12,12637.9,71.1,31.2,11.8,3.85
2,1,E16,3653,3.12,11390.93,71.1,28.3,11.7,4.19
2,2,E16,4061,3.06,12409.28,70.4,29.9,13.2,3.83
2,3,E16,3643,3.23,11774.25,72.3,29.3,11.3,3.64
3,1,E16,3556,3.29,11701.85,76.8,33.8,14.9,4.4
3,2,E16,4178,3.24,13543.72,72.3,32,15.1,4.39
3,3,E16,3584,3.33,11950.12,79.2,32.1,9.7,5.18
4,1,E16,3331,3.22,10717.34,75.3,30.2,11.7,4.28
4,2,E16,3934,3.37,13258.14,80.2,29.8,11.7,4.34
4,3,E16,4039,3.22,13000.99,73,28.4,14.5,4.61
5,1,E16,4075,3.43,13974.27,79.2,31.3,13.8,4.1
5,2,E16,3836,3.05,11690.28,66,29.3,15.7,3.82
5,3,E16,4083,3.44,14046.07,79.5,31,16.4,4.03
6,1,E16,4173,3.5,14595.97,80.4,29.9,16.6,4.01
6,2,E16,3445,2.99,10308.6,63.6,33,15.7,3.83
6,3,E16,3796,3.23,12268.93,67,29.9,13.6,4
